0,0,0,0
0,0,20,0
0,0,20,36
0,0,20,72
0,0,20,108
0,0,20,144
0,0,20,180
0,0,20,216
0,0,20,252
0,0,20,288
0,0,20,324
0,5,0,0
0,5,15,0
0,5,15,30
0,5,15,60
0,5,15,90
0,5,15,120
0,5,15,150
0,5,15,180
0,5,15,210
0,5,15,240
0,5,15,270
0,5,30,0
0,5,30,90
0,10,0,0
0,10,25,0
0,10,25,30
0,10,25,60
0,10,25,90
0,10,25,120
0,10,25,150
0,10,25,180
0,10,25,210
0,10,25,240
0,10,25,270
0,10,40,0
0,10,40,180
0,0,0,0
0,0,20,0
0,0,20,36
0,0,20,72
0,0,20,108
0,0,20,144
0,0,20,180
0,0,20,216
0,0,20,252
0,0,20,288
0,0,20,324
0,5,0,0
0,5,15,0
0,5,15,30
0,5,15,60
0,5,15,90
0,5,15,120
0,5,15,150
0,5,15,180
0,5,15,210
0,5,15,240
0,5,15,270
0,5,30,0
0,5,30,90
0,10,0,0
0,10,25,0
0,10,25,30
0,10,25,60
0,10,25,90
0,10,25,120
0,10,25,150
0,10,25,180
0,10,25,210
0,10,25,240
0,10,25,270
0,10,40,0
0,10,40,180
